#NumericalIntegrator addapting quadrature over [-16, 32]
#Iteration integral estimated_error tol
0 6.3654e+18 5.0519e+18 6.3654e+08
1 5.5402e+19 1.2688e+19 5.5402e+09
2 5.6300e+19 1.0422e+17 5.6300e+09
3 5.6278e+19 3.9596e+16 5.6278e+09
4 5.6278e+19 3.2788e+15 5.6278e+09
5 5.6278e+19 1.7649e+15 5.6278e+09
6 5.6278e+19 3.5564e+14 5.6278e+09
7 5.6278e+19 6.8537e+12 5.6278e+09
8 5.6278e+19 5.7025e+11 5.6278e+09
9 5.6278e+19 1.4229e+11 5.6278e+09
10 5.6278e+19 8.5375e+10 5.6278e+09
11 5.6278e+19 3.9006e+10 5.6278e+09
12 5.6278e+19 7.8961e+07 5.6278e+09
