#NumericalIntegrator addapting quadrature over [-16, 16]
#Iteration integral estimated_error tol
0 9.4030e+11 2.5652e+11 9.4030e+01
1 1.7881e+12 2.0694e+11 1.7881e+02
2 1.7786e+12 7.8199e+09 1.7786e+02
3 1.7786e+12 2.1999e+09 1.7786e+02
4 1.7783e+12 5.6377e+07 1.7783e+02
5 1.7783e+12 9.4965e+04 1.7783e+02
6 1.7783e+12 6.0760e+03 1.7783e+02
7 1.7783e+12 1.8711e+03 1.7783e+02
8 1.7783e+12 8.5068e+02 1.7783e+02
9 1.7783e+12 4.9921e+02 1.7783e+02
10 1.7783e+12 2.2116e+02 1.7783e+02
11 1.7783e+12 2.6359e+00 1.7783e+02
