#NumericalIntegrator addapting quadrature over [-32, 32]
#Iteration integral estimated_error tol
0 1.9395e+24 1.8999e+24 1.9395e+14
1 7.2564e+23 5.8102e+23 7.2564e+13
2 5.7202e+23 3.1648e+23 5.7202e+13
3 5.5307e+23 2.5495e+21 5.5307e+13
4 5.5307e+23 4.9155e+20 5.5307e+13
5 5.5286e+23 1.3468e+21 5.5286e+13
6 5.5286e+23 2.3171e+18 5.5286e+13
7 5.5286e+23 3.3008e+17 5.5286e+13
8 5.5286e+23 6.4015e+15 5.5286e+13
9 5.5286e+23 1.5610e+14 5.5286e+13
10 5.5286e+23 7.3155e+13 5.5286e+13
11 5.5286e+23 1.7877e+13 5.5286e+13
