#NumericalIntegrator addapting quadrature over [-16, 32]
#Iteration integral estimated_error tol
0 6.8920e+17 9.4080e+17 6.8920e+07
1 9.0562e+18 1.5917e+18 9.0562e+08
2 9.2648e+18 5.8830e+16 9.2648e+08
3 9.2603e+18 5.5068e+15 9.2603e+08
4 9.2603e+18 1.0372e+15 9.2603e+08
5 9.2603e+18 3.8560e+14 9.2603e+08
6 9.2603e+18 8.1071e+13 9.2603e+08
7 9.2603e+18 1.0332e+12 9.2603e+08
8 9.2603e+18 8.0742e+10 9.2603e+08
9 9.2603e+18 1.8542e+10 9.2603e+08
10 9.2603e+18 8.5241e+09 9.2603e+08
11 9.2603e+18 9.1417e+08 9.2603e+08
