#NumericalIntegrator addapting quadrature over [-32, 32]
#Iteration integral estimated_error tol
0 1.2527e+25 1.2271e+25 1.2527e+15
1 4.9785e+24 4.0165e+24 4.9785e+14
2 3.7330e+24 1.7855e+24 3.7330e+14
3 3.6271e+24 1.2443e+22 3.6271e+14
4 3.6271e+24 3.6712e+21 3.6271e+14
5 3.6279e+24 6.2969e+21 3.6279e+14
6 3.6279e+24 1.2025e+19 3.6279e+14
7 3.6279e+24 5.1671e+18 3.6279e+14
8 3.6279e+24 2.2273e+18 3.6279e+14
9 3.6279e+24 1.4333e+15 3.6279e+14
10 3.6279e+24 6.5849e+14 3.6279e+14
11 3.6279e+24 2.7886e+14 3.6279e+14
