#NumericalIntegrator addapting quadrature over [-32, 32]
#Iteration integral estimated_error tol
0 1.4242e+23 1.4353e+23 1.4242e+13
1 8.5667e+22 7.5826e+19 8.5667e+12
2 8.5666e+22 2.6099e+19 8.5666e+12
3 8.5933e+22 1.0983e+20 8.5933e+12
4 8.5934e+22 1.6447e+17 8.5934e+12
5 8.5934e+22 6.2727e+15 8.5934e+12
6 8.5934e+22 1.6091e+13 8.5934e+12
7 8.5934e+22 1.5458e+11 8.5934e+12
