#NumericalIntegrator addapting quadrature over [-32, 32]
#Iteration integral estimated_error tol
0 5.8272e+20 5.8865e+20 5.8272e+10
1 3.4272e+20 2.5407e+19 3.4272e+10
2 3.4298e+20 9.2065e+17 3.4298e+10
3 3.4299e+20 9.9089e+16 3.4299e+10
4 3.4299e+20 1.7914e+16 3.4299e+10
5 3.4299e+20 6.6043e+11 3.4299e+10
6 3.4299e+20 1.5250e+11 3.4299e+10
7 3.4299e+20 6.4392e+09 3.4299e+10
