#NumericalIntegrator addapting quadrature over [-16, 32]
#Iteration integral estimated_error tol
0 1.0537e+17 6.5706e+16 1.0537e+07
1 1.5171e+18 1.8855e+17 1.5171e+08
2 1.5658e+18 2.3166e+16 1.5658e+08
3 1.5651e+18 8.2920e+14 1.5651e+08
4 1.5651e+18 2.8151e+14 1.5651e+08
5 1.5651e+18 7.4513e+13 1.5651e+08
6 1.5651e+18 1.6934e+13 1.5651e+08
7 1.5651e+18 1.2385e+11 1.5651e+08
8 1.5651e+18 1.0290e+10 1.5651e+08
9 1.5651e+18 2.0922e+09 1.5651e+08
10 1.5651e+18 3.2540e+08 1.5651e+08
11 1.5651e+18 1.8785e+07 1.5651e+08
