#NumericalIntegrator addapting quadrature over [-16, 16]
#Iteration integral estimated_error tol
0 5.7424e+12 1.7005e+12 5.7424e+02
1 9.0919e+12 7.8259e+11 9.0919e+02
2 9.1291e+12 2.0282e+10 9.1291e+02
3 9.1307e+12 1.0270e+10 9.1307e+02
4 9.1307e+12 1.1749e+09 9.1307e+02
5 9.1307e+12 6.0826e+05 9.1307e+02
6 9.1307e+12 1.5271e+05 9.1307e+02
7 9.1307e+12 3.1289e+04 9.1307e+02
8 9.1307e+12 1.5860e+04 9.1307e+02
9 9.1307e+12 3.9092e+03 9.1307e+02
10 9.1307e+12 1.7305e+03 9.1307e+02
11 9.1307e+12 2.3739e+01 9.1307e+02
