#NumericalIntegrator addapting quadrature over [-16, 32]
#Iteration integral estimated_error tol
0 6.3452e+19 6.3243e+19 6.3452e+09
1 5.6278e+19 4.4909e+15 5.6278e+09
2 5.6278e+19 2.3987e+13 5.6278e+09
3 5.6278e+19 2.1328e+12 5.6278e+09
4 5.6278e+19 7.1619e+11 5.6278e+09
5 5.6278e+19 1.5188e+11 5.6278e+09
6 5.6278e+19 1.8315e+10 5.6278e+09
7 5.6278e+19 5.6665e+08 5.6278e+09
