#NumericalIntegrator addapting quadrature over [-32, 32]
#Iteration integral estimated_error tol
0 1.1288e+21 1.1058e+21 1.1288e+11
1 3.3929e+20 2.3783e+20 3.3929e+10
2 3.5035e+20 2.9613e+20 3.5035e+10
3 3.4335e+20 1.7850e+17 3.4335e+10
4 3.4335e+20 5.2856e+16 3.4335e+10
5 3.4302e+20 3.0782e+16 3.4302e+10
6 3.4299e+20 2.3103e+15 3.4299e+10
7 3.4299e+20 8.6659e+13 3.4299e+10
8 3.4299e+20 2.2528e+13 3.4299e+10
9 3.4299e+20 2.4782e+11 3.4299e+10
10 3.4299e+20 1.2079e+11 3.4299e+10
11 3.4299e+20 5.0453e+10 3.4299e+10
12 3.4299e+20 5.6076e+09 3.4299e+10
