#NumericalIntegrator addapting quadrature over [-32, 32]
#Iteration integral estimated_error tol
0 8.8602e+23 8.9144e+23 8.8602e+13
1 5.5113e+23 2.6609e+21 5.5113e+13
2 5.5285e+23 9.6558e+20 5.5285e+13
3 5.5286e+23 2.2266e+20 5.5286e+13
4 5.5286e+23 2.0779e+17 5.5286e+13
5 5.5286e+23 3.9178e+16 5.5286e+13
6 5.5286e+23 6.5501e+13 5.5286e+13
7 5.5286e+23 1.6050e+13 5.5286e+13
