#NumericalIntegrator addapting quadrature over [-32, 32]
#Iteration integral estimated_error tol
0 3.6525e+21 3.6879e+21 3.6525e+11
1 2.1373e+21 7.6564e+19 2.1373e+11
2 2.1412e+21 3.9656e+18 2.1412e+11
3 2.1412e+21 1.3417e+18 2.1412e+11
4 2.1412e+21 2.8340e+16 2.1412e+11
5 2.1412e+21 1.3984e+14 2.1412e+11
6 2.1412e+21 8.3336e+11 2.1412e+11
7 2.1412e+21 3.0767e+10 2.1412e+11
