#NumericalIntegrator addapting quadrature over [-16, 32]
#Iteration integral estimated_error tol
0 1.1020e+19 1.1189e+19 1.1020e+09
1 9.2602e+18 3.2216e+12 9.2602e+08
2 9.2603e+18 4.2802e+13 9.2603e+08
3 9.2603e+18 6.4766e+11 9.2603e+08
4 9.2603e+18 2.8518e+11 9.2603e+08
5 9.2603e+18 1.8154e+10 9.2603e+08
6 9.2603e+18 1.4675e+09 9.2603e+08
7 9.2603e+18 6.0494e+07 9.2603e+08
