#NumericalIntegrator addapting quadrature over [-32, 32]
#Iteration integral estimated_error tol
0 7.2910e+21 7.1421e+21 7.2910e+11
1 2.2983e+21 1.7015e+21 2.2983e+11
2 2.2002e+21 1.6585e+21 2.2002e+11
3 2.1393e+21 7.7282e+17 2.1393e+11
4 2.1410e+21 1.0018e+18 2.1410e+11
5 2.1412e+21 5.5338e+16 2.1412e+11
6 2.1412e+21 1.5909e+16 2.1412e+11
7 2.1412e+21 7.3719e+14 2.1412e+11
8 2.1412e+21 1.2132e+14 2.1412e+11
9 2.1412e+21 8.7097e+11 2.1412e+11
10 2.1412e+21 2.7749e+11 2.1412e+11
11 2.1412e+21 1.2979e+11 2.1412e+11
