#NumericalIntegrator addapting quadrature over [-32, 32]
#Iteration integral estimated_error tol
0 3.0222e+23 2.9604e+23 3.0222e+13
1 1.0642e+23 8.3728e+22 1.0642e+13
2 8.8959e+22 5.5142e+22 8.8959e+12
3 8.5887e+22 1.1129e+21 8.5887e+12
4 8.5887e+22 6.2626e+19 8.5887e+12
5 8.5932e+22 6.3905e+20 8.5932e+12
6 8.5934e+22 4.9856e+17 8.5934e+12
7 8.5934e+22 4.3941e+16 8.5934e+12
8 8.5934e+22 5.7580e+14 8.5934e+12
9 8.5934e+22 1.8907e+13 8.5934e+12
10 8.5934e+22 1.1973e+13 8.5934e+12
11 8.5934e+22 5.7742e+12 8.5934e+12
