#NumericalIntegrator addapting quadrature over [-32, 32]
#Iteration integral estimated_error tol
0 2.2718e+22 2.2921e+22 2.2718e+12
1 1.3382e+22 1.5157e+20 1.3382e+12
2 1.3418e+22 2.4685e+19 1.3418e+12
3 1.3418e+22 1.1144e+19 1.3418e+12
4 1.3418e+22 7.3142e+16 1.3418e+12
5 1.3418e+22 9.2724e+14 1.3418e+12
6 1.3418e+22 3.9615e+12 1.3418e+12
7 1.3418e+22 8.6455e+10 1.3418e+12
